driverId,driverName,image,constructorId,01 Bahrain GP,02 Malaysian GP,03 Australian GP,04 San Marino GP,05 European GP,06 Spanish GP,07 Monaco GP,08 British GP,09 Canadian GP,10 United States GP,11 French GP,12 German GP,13 Hungarian GP,14 Turkish GP,15 Italian GP,16 Chinese GP,17 Japanese GP,18 Brazilian GP
liuzzi,Vitantonio Liuzzi,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-6e9c9f91-2c12-4a5e-9b48-f0698061597a.jpg,toro_rosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
speed,Scott Speed,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-2d33cee8-b591-400e-8b18-7a2c59eabd48.jpg,toro_rosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sato,Takuma Sato,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F12_baa0df5d5b1a4a1e854e.jpg&w=256&q=75,super_aguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albers,Christijan Albers,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-273116f6-38e0-4ae1-aff7-9c89fe0b8279.jpg,mf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
albers,Christijan Albers,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-273116f6-38e0-4ae1-aff7-9c89fe0b8279.jpg,spyker_mf1,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
monteiro,Tiago Monteiro,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tiago_monteiro_spafrancorchamps2014.JPG/800px-Tiago_monteiro_spafrancorchamps2014.JPG,mf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
monteiro,Tiago Monteiro,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tiago_monteiro_spafrancorchamps2014.JPG/800px-Tiago_monteiro_spafrancorchamps2014.JPG,spyker_mf1,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
montagny,Franck Montagny,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-ef111e2f-7a81-422f-8c85-3b59de2faedd.jpg,super_aguri,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
ide,Yuji Ide,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-506c1114-7055-44d1-83f3-86ae802e1e83.jpg,super_aguri,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
doornbos,Robert Doornbos,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-d8d5ffdc-e03a-4cfb-94db-80a88d94a07f.jpg,red_bull,,,,,,,,,,,,,,,,0.0,0.0,0.0
yamamoto,Sakon Yamamoto,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-348891ae-9c60-46b6-aa0d-3558ca4c0499.jpg,super_aguri,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
