round,raceId,driverId,driverName,raceFinalPosition,racePoints,cumulativePoints
13,Hungarian Grand Prix 2006,michael_schumacher,Michael Schumacher,8,1.0,90.0
14,Turkish Grand Prix 2006,michael_schumacher,Michael Schumacher,3,6.0,96.0
15,Italian Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,106.0
16,Chinese Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,116.0
17,Japanese Grand Prix 2006,michael_schumacher,Michael Schumacher,20,0.0,116.0
18,Brazilian Grand Prix 2006,michael_schumacher,Michael Schumacher,4,5.0,121.0
1,Bahrain Grand Prix 2006,raikkonen,Kimi Räikkönen,3,6.0,6.0
2,Malaysian Grand Prix 2006,raikkonen,Kimi Räikkönen,22,0.0,6.0
3,Australian Grand Prix 2006,raikkonen,Kimi Räikkönen,2,8.0,14.0
4,San Marino Grand Prix 2006,raikkonen,Kimi Räikkönen,5,4.0,18.0
5,European Grand Prix 2006,raikkonen,Kimi Räikkönen,4,5.0,23.0
6,Spanish Grand Prix 2006,raikkonen,Kimi Räikkönen,5,4.0,27.0
7,Monaco Grand Prix 2006,raikkonen,Kimi Räikkönen,20,0.0,27.0
8,British Grand Prix 2006,raikkonen,Kimi Räikkönen,3,6.0,33.0
9,Canadian Grand Prix 2006,raikkonen,Kimi Räikkönen,3,6.0,39.0
10,United States Grand Prix 2006,raikkonen,Kimi Räikkönen,16,0.0,39.0
11,French Grand Prix 2006,raikkonen,Kimi Räikkönen,5,4.0,43.0
12,German Grand Prix 2006,raikkonen,Kimi Räikkönen,3,6.0,49.0
13,Hungarian Grand Prix 2006,raikkonen,Kimi Räikkönen,15,0.0,49.0
14,Turkish Grand Prix 2006,raikkonen,Kimi Räikkönen,21,0.0,49.0
15,Italian Grand Prix 2006,raikkonen,Kimi Räikkönen,2,8.0,57.0
16,Chinese Grand Prix 2006,raikkonen,Kimi Räikkönen,21,0.0,57.0
17,Japanese Grand Prix 2006,raikkonen,Kimi Räikkönen,5,4.0,61.0
18,Brazilian Grand Prix 2006,raikkonen,Kimi Räikkönen,5,4.0,65.0
1,Bahrain Grand Prix 2006,button,Jenson Button,4,5.0,5.0
2,Malaysian Grand Prix 2006,button,Jenson Button,3,6.0,11.0
3,Australian Grand Prix 2006,button,Jenson Button,10,0.0,11.0
4,San Marino Grand Prix 2006,button,Jenson Button,7,2.0,13.0
5,European Grand Prix 2006,button,Jenson Button,18,0.0,13.0
6,Spanish Grand Prix 2006,button,Jenson Button,6,3.0,16.0
7,Monaco Grand Prix 2006,button,Jenson Button,11,0.0,16.0
8,British Grand Prix 2006,button,Jenson Button,19,0.0,16.0
9,Canadian Grand Prix 2006,button,Jenson Button,9,0.0,16.0
10,United States Grand Prix 2006,button,Jenson Button,15,0.0,16.0
11,French Grand Prix 2006,button,Jenson Button,17,0.0,16.0
12,German Grand Prix 2006,button,Jenson Button,4,5.0,21.0
13,Hungarian Grand Prix 2006,button,Jenson Button,1,10.0,31.0
14,Turkish Grand Prix 2006,button,Jenson Button,4,5.0,36.0
15,Italian Grand Prix 2006,button,Jenson Button,5,4.0,40.0
16,Chinese Grand Prix 2006,button,Jenson Button,4,5.0,45.0
17,Japanese Grand Prix 2006,button,Jenson Button,4,5.0,50.0
18,Brazilian Grand Prix 2006,button,Jenson Button,3,6.0,56.0
1,Bahrain Grand Prix 2006,montoya,Juan Pablo Montoya,5,4.0,4.0
2,Malaysian Grand Prix 2006,montoya,Juan Pablo Montoya,4,5.0,9.0
3,Australian Grand Prix 2006,montoya,Juan Pablo Montoya,14,0.0,9.0
4,San Marino Grand Prix 2006,montoya,Juan Pablo Montoya,3,6.0,15.0
5,European Grand Prix 2006,montoya,Juan Pablo Montoya,15,0.0,15.0
6,Spanish Grand Prix 2006,montoya,Juan Pablo Montoya,21,0.0,15.0
7,Monaco Grand Prix 2006,montoya,Juan Pablo Montoya,2,8.0,23.0
8,British Grand Prix 2006,montoya,Juan Pablo Montoya,6,3.0,26.0
9,Canadian Grand Prix 2006,montoya,Juan Pablo Montoya,18,0.0,26.0
10,United States Grand Prix 2006,montoya,Juan Pablo Montoya,18,0.0,26.0
1,Bahrain Grand Prix 2006,webber,Mark Webber,6,3.0,3.0
2,Malaysian Grand Prix 2006,webber,Mark Webber,19,0.0,3.0
3,Australian Grand Prix 2006,webber,Mark Webber,18,0.0,3.0
4,San Marino Grand Prix 2006,webber,Mark Webber,6,3.0,6.0
5,European Grand Prix 2006,webber,Mark Webber,20,0.0,6.0
6,Spanish Grand Prix 2006,webber,Mark Webber,9,0.0,6.0
7,Monaco Grand Prix 2006,webber,Mark Webber,21,0.0,6.0
8,British Grand Prix 2006,webber,Mark Webber,22,0.0,6.0
9,Canadian Grand Prix 2006,webber,Mark Webber,12,0.0,6.0
10,United States Grand Prix 2006,webber,Mark Webber,19,0.0,6.0
11,French Grand Prix 2006,webber,Mark Webber,18,0.0,6.0
12,German Grand Prix 2006,webber,Mark Webber,13,0.0,6.0
13,Hungarian Grand Prix 2006,webber,Mark Webber,20,0.0,6.0
14,Turkish Grand Prix 2006,webber,Mark Webber,10,0.0,6.0
15,Italian Grand Prix 2006,webber,Mark Webber,10,0.0,6.0
16,Chinese Grand Prix 2006,webber,Mark Webber,8,1.0,7.0
17,Japanese Grand Prix 2006,webber,Mark Webber,19,0.0,7.0
18,Brazilian Grand Prix 2006,webber,Mark Webber,21,0.0,7.0
1,Bahrain Grand Prix 2006,rosberg,Nico Rosberg,7,2.0,2.0
2,Malaysian Grand Prix 2006,rosberg,Nico Rosberg,21,0.0,2.0
3,Australian Grand Prix 2006,rosberg,Nico Rosberg,21,0.0,2.0
4,San Marino Grand Prix 2006,rosberg,Nico Rosberg,11,0.0,2.0
5,European Grand Prix 2006,rosberg,Nico Rosberg,7,2.0,4.0
6,Spanish Grand Prix 2006,rosberg,Nico Rosberg,11,0.0,4.0
7,Monaco Grand Prix 2006,rosberg,Nico Rosberg,19,0.0,4.0
8,British Grand Prix 2006,rosberg,Nico Rosberg,9,0.0,4.0
9,Canadian Grand Prix 2006,rosberg,Nico Rosberg,21,0.0,4.0
10,United States Grand Prix 2006,rosberg,Nico Rosberg,9,0.0,4.0
11,French Grand Prix 2006,rosberg,Nico Rosberg,14,0.0,4.0
12,German Grand Prix 2006,rosberg,Nico Rosberg,20,0.0,4.0
13,Hungarian Grand Prix 2006,rosberg,Nico Rosberg,17,0.0,4.0
14,Turkish Grand Prix 2006,rosberg,Nico Rosberg,18,0.0,4.0
15,Italian Grand Prix 2006,rosberg,Nico Rosberg,22,0.0,4.0
16,Chinese Grand Prix 2006,rosberg,Nico Rosberg,11,0.0,4.0
17,Japanese Grand Prix 2006,rosberg,Nico Rosberg,10,0.0,4.0
18,Brazilian Grand Prix 2006,rosberg,Nico Rosberg,22,0.0,4.0
1,Bahrain Grand Prix 2006,klien,Christian Klien,8,1.0,1.0
2,Malaysian Grand Prix 2006,klien,Christian Klien,18,0.0,1.0
3,Australian Grand Prix 2006,klien,Christian Klien,19,0.0,1.0
4,San Marino Grand Prix 2006,klien,Christian Klien,19,0.0,1.0
5,European Grand Prix 2006,klien,Christian Klien,19,0.0,1.0
6,Spanish Grand Prix 2006,klien,Christian Klien,13,0.0,1.0
7,Monaco Grand Prix 2006,klien,Christian Klien,18,0.0,1.0
8,British Grand Prix 2006,klien,Christian Klien,14,0.0,1.0
9,Canadian Grand Prix 2006,klien,Christian Klien,11,0.0,1.0
10,United States Grand Prix 2006,klien,Christian Klien,21,0.0,1.0
11,French Grand Prix 2006,klien,Christian Klien,12,0.0,1.0
12,German Grand Prix 2006,klien,Christian Klien,8,1.0,2.0
13,Hungarian Grand Prix 2006,klien,Christian Klien,19,0.0,2.0
14,Turkish Grand Prix 2006,klien,Christian Klien,11,0.0,2.0
15,Italian Grand Prix 2006,klien,Christian Klien,11,0.0,2.0
1,Bahrain Grand Prix 2006,massa,Felipe Massa,9,0.0,0.0
2,Malaysian Grand Prix 2006,massa,Felipe Massa,5,4.0,4.0
3,Australian Grand Prix 2006,massa,Felipe Massa,22,0.0,4.0
4,San Marino Grand Prix 2006,massa,Felipe Massa,4,5.0,9.0
5,European Grand Prix 2006,massa,Felipe Massa,3,6.0,15.0
6,Spanish Grand Prix 2006,massa,Felipe Massa,4,5.0,20.0
7,Monaco Grand Prix 2006,massa,Felipe Massa,9,0.0,20.0
8,British Grand Prix 2006,massa,Felipe Massa,5,4.0,24.0
9,Canadian Grand Prix 2006,massa,Felipe Massa,5,4.0,28.0
10,United States Grand Prix 2006,massa,Felipe Massa,2,8.0,36.0
11,French Grand Prix 2006,massa,Felipe Massa,3,6.0,42.0
12,German Grand Prix 2006,massa,Felipe Massa,2,8.0,50.0
13,Hungarian Grand Prix 2006,massa,Felipe Massa,7,2.0,52.0
14,Turkish Grand Prix 2006,massa,Felipe Massa,1,10.0,62.0
15,Italian Grand Prix 2006,massa,Felipe Massa,9,0.0,62.0
16,Chinese Grand Prix 2006,massa,Felipe Massa,18,0.0,62.0
17,Japanese Grand Prix 2006,massa,Felipe Massa,2,8.0,70.0
18,Brazilian Grand Prix 2006,massa,Felipe Massa,1,10.0,80.0
1,Bahrain Grand Prix 2006,coulthard,David Coulthard,10,0.0,0.0
2,Malaysian Grand Prix 2006,coulthard,David Coulthard,20,0.0,0.0
3,Australian Grand Prix 2006,coulthard,David Coulthard,8,1.0,1.0
4,San Marino Grand Prix 2006,coulthard,David Coulthard,17,0.0,1.0
5,European Grand Prix 2006,coulthard,David Coulthard,21,0.0,1.0
6,Spanish Grand Prix 2006,coulthard,David Coulthard,14,0.0,1.0
7,Monaco Grand Prix 2006,coulthard,David Coulthard,3,6.0,7.0
8,British Grand Prix 2006,coulthard,David Coulthard,12,0.0,7.0
9,Canadian Grand Prix 2006,coulthard,David Coulthard,8,1.0,8.0
10,United States Grand Prix 2006,coulthard,David Coulthard,7,2.0,10.0
11,French Grand Prix 2006,coulthard,David Coulthard,9,0.0,10.0
12,German Grand Prix 2006,coulthard,David Coulthard,11,0.0,10.0
13,Hungarian Grand Prix 2006,coulthard,David Coulthard,5,4.0,14.0
14,Turkish Grand Prix 2006,coulthard,David Coulthard,15,0.0,14.0
15,Italian Grand Prix 2006,coulthard,David Coulthard,12,0.0,14.0
16,Chinese Grand Prix 2006,coulthard,David Coulthard,9,0.0,14.0
17,Japanese Grand Prix 2006,coulthard,David Coulthard,21,0.0,14.0
18,Brazilian Grand Prix 2006,coulthard,David Coulthard,18,0.0,14.0
1,Bahrain Grand Prix 2006,liuzzi,Vitantonio Liuzzi,11,0.0,0.0
2,Malaysian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,11,0.0,0.0
3,Australian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,16,0.0,0.0
4,San Marino Grand Prix 2006,liuzzi,Vitantonio Liuzzi,14,0.0,0.0
5,European Grand Prix 2006,liuzzi,Vitantonio Liuzzi,22,0.0,0.0
6,Spanish Grand Prix 2006,liuzzi,Vitantonio Liuzzi,15,0.0,0.0
7,Monaco Grand Prix 2006,liuzzi,Vitantonio Liuzzi,10,0.0,0.0
8,British Grand Prix 2006,liuzzi,Vitantonio Liuzzi,13,0.0,0.0
9,Canadian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,13,0.0,0.0
10,United States Grand Prix 2006,liuzzi,Vitantonio Liuzzi,8,1.0,1.0
11,French Grand Prix 2006,liuzzi,Vitantonio Liuzzi,13,0.0,1.0
12,German Grand Prix 2006,liuzzi,Vitantonio Liuzzi,10,0.0,1.0
13,Hungarian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,16,0.0,1.0
14,Turkish Grand Prix 2006,liuzzi,Vitantonio Liuzzi,20,0.0,1.0
15,Italian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,14,0.0,1.0
16,Chinese Grand Prix 2006,liuzzi,Vitantonio Liuzzi,10,0.0,1.0
17,Japanese Grand Prix 2006,liuzzi,Vitantonio Liuzzi,14,0.0,1.0
18,Brazilian Grand Prix 2006,liuzzi,Vitantonio Liuzzi,13,0.0,1.0
1,Bahrain Grand Prix 2006,heidfeld,Nick Heidfeld,12,0.0,0.0
2,Malaysian Grand Prix 2006,heidfeld,Nick Heidfeld,15,0.0,0.0
3,Australian Grand Prix 2006,heidfeld,Nick Heidfeld,4,5.0,5.0
4,San Marino Grand Prix 2006,heidfeld,Nick Heidfeld,13,0.0,5.0
5,European Grand Prix 2006,heidfeld,Nick Heidfeld,10,0.0,5.0
6,Spanish Grand Prix 2006,heidfeld,Nick Heidfeld,8,1.0,6.0
7,Monaco Grand Prix 2006,heidfeld,Nick Heidfeld,7,2.0,8.0
8,British Grand Prix 2006,heidfeld,Nick Heidfeld,7,2.0,10.0
9,Canadian Grand Prix 2006,heidfeld,Nick Heidfeld,7,2.0,12.0
10,United States Grand Prix 2006,heidfeld,Nick Heidfeld,17,0.0,12.0
11,French Grand Prix 2006,heidfeld,Nick Heidfeld,8,1.0,13.0
12,German Grand Prix 2006,heidfeld,Nick Heidfeld,17,0.0,13.0
13,Hungarian Grand Prix 2006,heidfeld,Nick Heidfeld,3,6.0,19.0
14,Turkish Grand Prix 2006,heidfeld,Nick Heidfeld,14,0.0,19.0
15,Italian Grand Prix 2006,heidfeld,Nick Heidfeld,8,1.0,20.0
16,Chinese Grand Prix 2006,heidfeld,Nick Heidfeld,7,2.0,22.0
17,Japanese Grand Prix 2006,heidfeld,Nick Heidfeld,8,1.0,23.0
18,Brazilian Grand Prix 2006,heidfeld,Nick Heidfeld,17,0.0,23.0
1,Bahrain Grand Prix 2006,speed,Scott Speed,13,0.0,0.0
2,Malaysian Grand Prix 2006,speed,Scott Speed,16,0.0,0.0
3,Australian Grand Prix 2006,speed,Scott Speed,9,0.0,0.0
4,San Marino Grand Prix 2006,speed,Scott Speed,15,0.0,0.0
5,European Grand Prix 2006,speed,Scott Speed,11,0.0,0.0
6,Spanish Grand Prix 2006,speed,Scott Speed,19,0.0,0.0
7,Monaco Grand Prix 2006,speed,Scott Speed,13,0.0,0.0
8,British Grand Prix 2006,speed,Scott Speed,20,0.0,0.0
9,Canadian Grand Prix 2006,speed,Scott Speed,10,0.0,0.0
10,United States Grand Prix 2006,speed,Scott Speed,20,0.0,0.0
11,French Grand Prix 2006,speed,Scott Speed,10,0.0,0.0
12,German Grand Prix 2006,speed,Scott Speed,12,0.0,0.0
13,Hungarian Grand Prix 2006,speed,Scott Speed,11,0.0,0.0
14,Turkish Grand Prix 2006,speed,Scott Speed,13,0.0,0.0
15,Italian Grand Prix 2006,speed,Scott Speed,13,0.0,0.0
16,Chinese Grand Prix 2006,speed,Scott Speed,14,0.0,0.0
17,Japanese Grand Prix 2006,speed,Scott Speed,18,0.0,0.0
18,Brazilian Grand Prix 2006,speed,Scott Speed,11,0.0,0.0
1,Bahrain Grand Prix 2006,ralf_schumacher,Ralf Schumacher,14,0.0,0.0
2,Malaysian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,8,1.0,1.0
3,Australian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,3,6.0,7.0
4,San Marino Grand Prix 2006,ralf_schumacher,Ralf Schumacher,9,0.0,7.0
5,European Grand Prix 2006,ralf_schumacher,Ralf Schumacher,14,0.0,7.0
6,Spanish Grand Prix 2006,ralf_schumacher,Ralf Schumacher,20,0.0,7.0
7,Monaco Grand Prix 2006,ralf_schumacher,Ralf Schumacher,8,1.0,8.0
8,British Grand Prix 2006,ralf_schumacher,Ralf Schumacher,21,0.0,8.0
9,Canadian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,17,0.0,8.0
10,United States Grand Prix 2006,ralf_schumacher,Ralf Schumacher,10,0.0,8.0
11,French Grand Prix 2006,ralf_schumacher,Ralf Schumacher,4,5.0,13.0
12,German Grand Prix 2006,ralf_schumacher,Ralf Schumacher,9,0.0,13.0
13,Hungarian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,6,3.0,16.0
14,Turkish Grand Prix 2006,ralf_schumacher,Ralf Schumacher,7,2.0,18.0
15,Italian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,15,0.0,18.0
16,Chinese Grand Prix 2006,ralf_schumacher,Ralf Schumacher,17,0.0,18.0
17,Japanese Grand Prix 2006,ralf_schumacher,Ralf Schumacher,7,2.0,20.0
18,Brazilian Grand Prix 2006,ralf_schumacher,Ralf Schumacher,20,0.0,20.0
1,Bahrain Grand Prix 2006,barrichello,Rubens Barrichello,15,0.0,0.0
2,Malaysian Grand Prix 2006,barrichello,Rubens Barrichello,10,0.0,0.0
3,Australian Grand Prix 2006,barrichello,Rubens Barrichello,7,2.0,2.0
4,San Marino Grand Prix 2006,barrichello,Rubens Barrichello,10,0.0,2.0
5,European Grand Prix 2006,barrichello,Rubens Barrichello,5,4.0,6.0
6,Spanish Grand Prix 2006,barrichello,Rubens Barrichello,7,2.0,8.0
7,Monaco Grand Prix 2006,barrichello,Rubens Barrichello,4,5.0,13.0
8,British Grand Prix 2006,barrichello,Rubens Barrichello,10,0.0,13.0
9,Canadian Grand Prix 2006,barrichello,Rubens Barrichello,19,0.0,13.0
10,United States Grand Prix 2006,barrichello,Rubens Barrichello,6,3.0,16.0
11,French Grand Prix 2006,barrichello,Rubens Barrichello,20,0.0,16.0
12,German Grand Prix 2006,barrichello,Rubens Barrichello,16,0.0,16.0
13,Hungarian Grand Prix 2006,barrichello,Rubens Barrichello,4,5.0,21.0
14,Turkish Grand Prix 2006,barrichello,Rubens Barrichello,8,1.0,22.0
15,Italian Grand Prix 2006,barrichello,Rubens Barrichello,6,3.0,25.0
16,Chinese Grand Prix 2006,barrichello,Rubens Barrichello,6,3.0,28.0
17,Japanese Grand Prix 2006,barrichello,Rubens Barrichello,12,0.0,28.0
18,Brazilian Grand Prix 2006,barrichello,Rubens Barrichello,7,2.0,30.0
1,Bahrain Grand Prix 2006,trulli,Jarno Trulli,16,0.0,0.0
2,Malaysian Grand Prix 2006,trulli,Jarno Trulli,9,0.0,0.0
3,Australian Grand Prix 2006,trulli,Jarno Trulli,20,0.0,0.0
4,San Marino Grand Prix 2006,trulli,Jarno Trulli,21,0.0,0.0
5,European Grand Prix 2006,trulli,Jarno Trulli,9,0.0,0.0
6,Spanish Grand Prix 2006,trulli,Jarno Trulli,10,0.0,0.0
7,Monaco Grand Prix 2006,trulli,Jarno Trulli,17,0.0,0.0
8,British Grand Prix 2006,trulli,Jarno Trulli,11,0.0,0.0
9,Canadian Grand Prix 2006,trulli,Jarno Trulli,6,3.0,3.0
10,United States Grand Prix 2006,trulli,Jarno Trulli,4,5.0,8.0
11,French Grand Prix 2006,trulli,Jarno Trulli,19,0.0,8.0
12,German Grand Prix 2006,trulli,Jarno Trulli,7,2.0,10.0
13,Hungarian Grand Prix 2006,trulli,Jarno Trulli,12,0.0,10.0
14,Turkish Grand Prix 2006,trulli,Jarno Trulli,9,0.0,10.0
15,Italian Grand Prix 2006,trulli,Jarno Trulli,7,2.0,12.0
16,Chinese Grand Prix 2006,trulli,Jarno Trulli,19,0.0,12.0
17,Japanese Grand Prix 2006,trulli,Jarno Trulli,6,3.0,15.0
18,Brazilian Grand Prix 2006,trulli,Jarno Trulli,19,0.0,15.0
1,Bahrain Grand Prix 2006,monteiro,Tiago Monteiro,17,0.0,0.0
2,Malaysian Grand Prix 2006,monteiro,Tiago Monteiro,13,0.0,0.0
3,Australian Grand Prix 2006,monteiro,Tiago Monteiro,15,0.0,0.0
4,San Marino Grand Prix 2006,monteiro,Tiago Monteiro,16,0.0,0.0
5,European Grand Prix 2006,monteiro,Tiago Monteiro,12,0.0,0.0
6,Spanish Grand Prix 2006,monteiro,Tiago Monteiro,16,0.0,0.0
7,Monaco Grand Prix 2006,monteiro,Tiago Monteiro,15,0.0,0.0
8,British Grand Prix 2006,monteiro,Tiago Monteiro,16,0.0,0.0
9,Canadian Grand Prix 2006,monteiro,Tiago Monteiro,14,0.0,0.0
10,United States Grand Prix 2006,monteiro,Tiago Monteiro,13,0.0,0.0
11,French Grand Prix 2006,monteiro,Tiago Monteiro,21,0.0,0.0
12,German Grand Prix 2006,monteiro,Tiago Monteiro,22,0.0,0.0
13,Hungarian Grand Prix 2006,monteiro,Tiago Monteiro,9,0.0,0.0
14,Turkish Grand Prix 2006,monteiro,Tiago Monteiro,22,0.0,0.0
15,Italian Grand Prix 2006,monteiro,Tiago Monteiro,18,0.0,0.0
16,Chinese Grand Prix 2006,monteiro,Tiago Monteiro,20,0.0,0.0
17,Japanese Grand Prix 2006,monteiro,Tiago Monteiro,16,0.0,0.0
18,Brazilian Grand Prix 2006,monteiro,Tiago Monteiro,15,0.0,0.0
1,Bahrain Grand Prix 2006,sato,Takuma Sato,18,0.0,0.0
2,Malaysian Grand Prix 2006,sato,Takuma Sato,14,0.0,0.0
3,Australian Grand Prix 2006,sato,Takuma Sato,12,0.0,0.0
4,San Marino Grand Prix 2006,sato,Takuma Sato,18,0.0,0.0
5,European Grand Prix 2006,sato,Takuma Sato,16,0.0,0.0
6,Spanish Grand Prix 2006,sato,Takuma Sato,17,0.0,0.0
7,Monaco Grand Prix 2006,sato,Takuma Sato,22,0.0,0.0
8,British Grand Prix 2006,sato,Takuma Sato,17,0.0,0.0
9,Canadian Grand Prix 2006,sato,Takuma Sato,15,0.0,0.0
10,United States Grand Prix 2006,sato,Takuma Sato,14,0.0,0.0
11,French Grand Prix 2006,sato,Takuma Sato,22,0.0,0.0
12,German Grand Prix 2006,sato,Takuma Sato,14,0.0,0.0
13,Hungarian Grand Prix 2006,sato,Takuma Sato,13,0.0,0.0
14,Turkish Grand Prix 2006,sato,Takuma Sato,17,0.0,0.0
15,Italian Grand Prix 2006,sato,Takuma Sato,16,0.0,0.0
16,Chinese Grand Prix 2006,sato,Takuma Sato,22,0.0,0.0
17,Japanese Grand Prix 2006,sato,Takuma Sato,15,0.0,0.0
18,Brazilian Grand Prix 2006,sato,Takuma Sato,10,0.0,0.0
1,Bahrain Grand Prix 2006,ide,Yuji Ide,19,0.0,0.0
2,Malaysian Grand Prix 2006,ide,Yuji Ide,17,0.0,0.0
3,Australian Grand Prix 2006,ide,Yuji Ide,13,0.0,0.0
4,San Marino Grand Prix 2006,ide,Yuji Ide,20,0.0,0.0
1,Bahrain Grand Prix 2006,villeneuve,Jacques Villeneuve,20,0.0,0.0
2,Malaysian Grand Prix 2006,villeneuve,Jacques Villeneuve,7,2.0,2.0
3,Australian Grand Prix 2006,villeneuve,Jacques Villeneuve,6,3.0,5.0
4,San Marino Grand Prix 2006,villeneuve,Jacques Villeneuve,12,0.0,5.0
5,European Grand Prix 2006,villeneuve,Jacques Villeneuve,8,1.0,6.0
6,Spanish Grand Prix 2006,villeneuve,Jacques Villeneuve,12,0.0,6.0
7,Monaco Grand Prix 2006,villeneuve,Jacques Villeneuve,14,0.0,6.0
8,British Grand Prix 2006,villeneuve,Jacques Villeneuve,8,1.0,7.0
9,Canadian Grand Prix 2006,villeneuve,Jacques Villeneuve,16,0.0,7.0
10,United States Grand Prix 2006,villeneuve,Jacques Villeneuve,12,0.0,7.0
11,French Grand Prix 2006,villeneuve,Jacques Villeneuve,11,0.0,7.0
12,German Grand Prix 2006,villeneuve,Jacques Villeneuve,15,0.0,7.0
1,Bahrain Grand Prix 2006,fisichella,Giancarlo Fisichella,21,0.0,0.0
2,Malaysian Grand Prix 2006,fisichella,Giancarlo Fisichella,1,10.0,10.0
3,Australian Grand Prix 2006,fisichella,Giancarlo Fisichella,5,4.0,14.0
4,San Marino Grand Prix 2006,fisichella,Giancarlo Fisichella,8,1.0,15.0
5,European Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,18.0
6,Spanish Grand Prix 2006,fisichella,Giancarlo Fisichella,3,6.0,24.0
7,Monaco Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,27.0
8,British Grand Prix 2006,fisichella,Giancarlo Fisichella,4,5.0,32.0
9,Canadian Grand Prix 2006,fisichella,Giancarlo Fisichella,4,5.0,37.0
10,United States Grand Prix 2006,fisichella,Giancarlo Fisichella,3,6.0,43.0
11,French Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,46.0
12,German Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,49.0
13,Hungarian Grand Prix 2006,fisichella,Giancarlo Fisichella,18,0.0,49.0
14,Turkish Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,52.0
15,Italian Grand Prix 2006,fisichella,Giancarlo Fisichella,4,5.0,57.0
16,Chinese Grand Prix 2006,fisichella,Giancarlo Fisichella,3,6.0,63.0
17,Japanese Grand Prix 2006,fisichella,Giancarlo Fisichella,3,6.0,69.0
18,Brazilian Grand Prix 2006,fisichella,Giancarlo Fisichella,6,3.0,72.0
1,Bahrain Grand Prix 2006,albers,Christijan Albers,22,0.0,0.0
2,Malaysian Grand Prix 2006,albers,Christijan Albers,12,0.0,0.0
3,Australian Grand Prix 2006,albers,Christijan Albers,11,0.0,0.0
4,San Marino Grand Prix 2006,albers,Christijan Albers,22,0.0,0.0
5,European Grand Prix 2006,albers,Christijan Albers,13,0.0,0.0
6,Spanish Grand Prix 2006,albers,Christijan Albers,18,0.0,0.0
7,Monaco Grand Prix 2006,albers,Christijan Albers,12,0.0,0.0
8,British Grand Prix 2006,albers,Christijan Albers,15,0.0,0.0
