round,raceId,driverId,driverName,raceFinalPosition,racePoints,cumulativePoints
1,Bahrain Grand Prix 2006,alonso,Fernando Alonso,1,10.0,10.0
2,Malaysian Grand Prix 2006,alonso,Fernando Alonso,2,8.0,18.0
3,Australian Grand Prix 2006,alonso,Fernando Alonso,1,10.0,28.0
4,San Marino Grand Prix 2006,alonso,Fernando Alonso,2,8.0,36.0
5,European Grand Prix 2006,alonso,Fernando Alonso,2,8.0,44.0
6,Spanish Grand Prix 2006,alonso,Fernando Alonso,1,10.0,54.0
7,Monaco Grand Prix 2006,alonso,Fernando Alonso,1,10.0,64.0
8,British Grand Prix 2006,alonso,Fernando Alonso,1,10.0,74.0
9,Canadian Grand Prix 2006,alonso,Fernando Alonso,1,10.0,84.0
10,United States Grand Prix 2006,alonso,Fernando Alonso,5,4.0,88.0
11,French Grand Prix 2006,alonso,Fernando Alonso,2,8.0,96.0
12,German Grand Prix 2006,alonso,Fernando Alonso,5,4.0,100.0
13,Hungarian Grand Prix 2006,alonso,Fernando Alonso,14,0.0,100.0
14,Turkish Grand Prix 2006,alonso,Fernando Alonso,2,8.0,108.0
15,Italian Grand Prix 2006,alonso,Fernando Alonso,19,0.0,108.0
16,Chinese Grand Prix 2006,alonso,Fernando Alonso,2,8.0,116.0
17,Japanese Grand Prix 2006,alonso,Fernando Alonso,1,10.0,126.0
18,Brazilian Grand Prix 2006,alonso,Fernando Alonso,2,8.0,134.0
1,Bahrain Grand Prix 2006,michael_schumacher,Michael Schumacher,2,8.0,8.0
2,Malaysian Grand Prix 2006,michael_schumacher,Michael Schumacher,6,3.0,11.0
3,Australian Grand Prix 2006,michael_schumacher,Michael Schumacher,17,0.0,11.0
4,San Marino Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,21.0
5,European Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,31.0
6,Spanish Grand Prix 2006,michael_schumacher,Michael Schumacher,2,8.0,39.0
7,Monaco Grand Prix 2006,michael_schumacher,Michael Schumacher,5,4.0,43.0
8,British Grand Prix 2006,michael_schumacher,Michael Schumacher,2,8.0,51.0
9,Canadian Grand Prix 2006,michael_schumacher,Michael Schumacher,2,8.0,59.0
10,United States Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,69.0
11,French Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,79.0
12,German Grand Prix 2006,michael_schumacher,Michael Schumacher,1,10.0,89.0
